type,from,to,Work at home,Study at home,"Drive a private car, truck or van","Drive a company car, truck or van","Passenger in a car, truck, van or company bus",Public bus,School bus,Train,Bicycle,Walk or jog,Ferry,Other,Total
Work,128200,128200,210,0,21,0,0,6,0,0,0,15,0,0,261
Work,128300,128300,96,0,15,0,0,0,0,0,0,0,0,0,117
Work,128400,128400,96,0,9,6,0,0,0,0,0,0,0,0,111
Work,128500,128500,117,0,15,9,0,0,0,0,0,0,0,0,144
Work,128600,128600,123,0,12,0,0,0,0,0,0,0,0,0,141
Work,128700,128700,0,0,0,0,0,0,0,0,0,0,0,0,12
Work,128800,128800,240,0,15,0,0,0,0,0,0,6,0,0,267
Work,128900,128900,111,0,12,9,0,0,0,0,0,0,0,0,141
Work,129000,129000,39,0,6,0,0,0,0,0,0,0,0,0,51
Work,129100,129100,135,0,18,9,0,0,0,0,0,0,0,0,171
Work,129200,129200,222,0,12,0,0,0,0,0,0,0,0,0,237
Work,129300,129300,141,0,12,0,0,0,0,0,0,15,0,0,174
Work,129400,129400,177,0,12,9,0,0,0,0,0,0,0,0,207
Work,129500,129500,66,0,21,12,0,0,0,0,0,0,0,0,102
Work,129600,129600,123,0,0,6,0,0,0,0,0,0,0,0,144
Work,129700,129700,258,0,18,0,0,0,0,0,0,6,0,0,288
Work,129800,129800,171,0,9,6,0,0,0,0,0,15,0,0,201
Work,129900,129900,255,0,36,6,0,0,0,0,0,24,0,0,327
Work,130000,130000,183,0,18,15,0,0,0,0,0,0,0,0,213
Work,130100,130100,117,0,9,0,0,0,0,0,0,0,0,0,138
Work,130200,130200,207,0,6,0,0,0,0,0,0,15,0,0,237
Work,130300,130300,219,0,12,0,0,0,0,0,0,9,0,0,246
Work,130400,130400,186,0,9,6,0,0,0,0,0,12,0,0,219
Work,130500,130500,72,0,12,0,0,0,0,0,0,0,0,0,90
Work,130600,130600,132,0,12,0,0,0,0,0,0,0,0,0,150
Work,130700,130700,288,0,27,6,0,0,0,0,0,9,0,0,339
Work,130800,130800,51,0,6,0,0,0,0,0,0,0,0,0,66
Work,130900,130900,138,0,15,0,0,0,0,0,0,0,0,0,165
Work,131000,131000,48,0,15,0,0,0,0,0,0,15,0,0,84
Work,131100,131100,126,0,15,0,0,0,0,0,0,0,0,0,150
Work,131200,131200,285,0,24,0,0,0,0,0,0,42,0,0,363
Work,131300,131300,108,0,6,0,0,0,0,0,0,57,0,0,186
Work,131400,131400,270,0,39,6,6,0,0,0,12,93,0,15,441
Work,131500,131500,129,0,30,0,0,0,0,0,0,12,0,0,180
Work,131600,131600,225,0,12,0,0,0,0,0,0,24,0,0,270
Work,131700,131700,66,0,0,9,0,0,0,0,0,0,0,0,81
Work,131800,131800,345,0,33,0,0,0,0,0,0,75,0,0,462
Work,131900,131900,120,0,9,0,0,0,0,0,0,12,0,0,153
Work,132000,132000,150,0,18,0,0,0,0,0,0,0,0,0,180
Work,132100,132100,210,0,0,0,0,6,0,0,0,15,0,0,240
Work,132200,132200,183,0,21,9,0,0,0,0,0,9,0,0,225
Work,132300,132300,81,0,0,0,0,0,0,0,0,0,0,0,84
Work,132400,132400,57,0,9,0,0,0,0,0,0,69,0,0,138
Work,132500,132500,189,0,9,9,0,0,0,0,0,0,0,0,213
Work,132600,132600,63,0,12,6,0,0,0,0,0,0,0,0,90
Work,132700,132700,78,0,0,0,0,6,0,0,0,117,0,0,213
Work,132800,132800,249,0,9,0,0,0,0,0,0,6,0,0,276
Work,132900,132900,108,0,12,0,0,0,0,0,0,0,0,0,129
Work,133000,133000,276,0,51,9,6,0,0,0,9,81,6,0,447
Work,133100,133100,102,0,15,0,0,0,0,0,0,6,0,0,138
Work,133200,133200,114,0,15,0,0,9,0,0,0,102,0,0,246
Work,133300,133300,111,0,9,0,0,0,0,0,0,129,0,0,261
Work,133400,133400,66,0,0,0,0,0,0,0,0,36,0,0,108
Work,133500,133500,123,0,9,0,0,0,0,0,0,48,0,0,186
Work,133600,133600,225,0,27,6,0,0,0,0,0,33,0,0,297
Work,133700,133700,108,0,0,0,0,6,0,0,0,69,0,0,192
Work,133800,133800,69,0,0,0,0,0,0,0,0,21,0,0,96
Work,133900,133900,18,0,6,0,0,0,0,0,0,18,0,0,51
Work,134000,134000,162,0,9,0,0,0,0,0,0,6,0,0,180
Work,134100,134100,60,0,0,0,0,0,0,0,0,30,0,0,93
Work,134200,134200,192,0,33,6,0,0,0,0,0,45,0,0,282
Work,134300,134300,144,0,9,0,0,0,0,0,0,45,0,0,204
Work,134400,134400,171,0,18,0,0,0,0,0,0,21,0,0,222
Work,134500,134500,117,0,6,0,0,0,0,0,0,39,0,0,171
Work,134600,134600,186,0,24,9,0,0,0,0,0,6,0,0,225
Work,134700,134700,156,0,18,9,0,0,0,0,0,6,0,0,189
Work,134800,134800,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,134900,134900,90,0,9,9,0,0,0,0,0,0,0,0,111
Work,135000,135000,141,0,18,6,0,0,0,0,0,9,0,0,180
Work,135100,135100,87,0,0,0,0,0,0,0,0,51,0,0,141
Work,135200,135200,138,0,9,0,0,0,0,0,0,15,0,0,171
Work,135300,135300,75,0,0,0,0,0,0,0,0,45,0,0,126
Work,135400,135400,162,0,6,9,0,0,0,0,0,0,0,0,183
Work,135500,135500,87,0,0,6,0,0,0,0,0,12,0,0,111
Work,135600,135600,69,0,9,0,0,0,0,0,0,12,0,0,87
Work,135700,135700,75,0,0,0,0,0,0,0,0,0,0,0,78
Work,135800,135800,84,0,12,0,0,0,0,0,0,33,0,0,135
Work,135900,135900,78,0,0,0,0,0,0,0,0,21,0,0,102
Work,136000,136000,198,0,33,12,0,0,0,0,0,123,0,0,378
Work,136100,136100,72,0,6,0,0,0,0,0,0,90,0,0,171
Work,136200,136200,93,0,6,0,0,0,0,0,0,0,0,0,105
Work,136300,136300,171,0,9,0,0,0,0,0,0,9,0,0,198
Work,136400,136400,297,0,42,12,0,18,0,0,0,153,0,6,534
Work,136500,136500,135,0,12,12,0,0,0,0,0,6,0,0,165
Work,136600,136600,105,0,12,9,0,0,0,0,0,0,0,0,123
Work,136700,136700,324,0,36,18,0,0,0,0,0,15,0,0,399
Work,136800,136800,48,0,0,0,0,0,0,0,0,0,0,0,54
Work,136900,136900,126,0,9,0,0,0,0,0,0,24,0,0,168
Work,137000,137000,87,0,15,0,0,0,0,0,0,6,0,0,111
Work,137100,137100,72,0,6,6,0,0,0,0,0,0,0,0,87
Work,137200,137200,123,0,9,9,0,0,0,0,0,6,0,0,150
Work,137300,137300,60,0,9,0,0,0,0,0,0,0,0,0,78
Work,137400,137400,303,0,9,0,0,0,0,0,0,15,0,0,333
Work,137500,137500,180,0,27,6,0,0,0,0,0,9,0,0,222
Work,137600,137600,75,0,0,0,0,0,0,0,0,0,0,0,81
Work,137700,137700,48,0,0,0,0,0,0,0,0,15,0,0,66
